product_subgroup_desc,style_colour_desc,gender,style_colour_code,period,range_segment,material,product_launch_date,colour_description,distinct_store_count,pareto,month,season,sales,beg_inv,end_inv,total_stock,weeks_selling,standard_selling_price,standard_cost_price,aur,margin  v,margin %,sales v,discount v,discount %,price_metric
Baby bag,Handbag Baby bag Style 37682,Women,2000901613,202202,Newness,Leather,27/06/2012,Yellow,259,A,February,Spring/Summer,16,17,1,17,44,140,46.54,83.932941,598.287056,0.45,1342.927056,897.072944,67%,ENTRY
Baby bag,Handbag Baby bag Style 37682,Women,2000901613,202203,Newness,Leather,27/06/2012,Yellow,259,A,March,Spring/Summer,16,16,2,18,44,140,46.54,89.594444,688.871104,0.48,1433.511104,806.488896,56%,ENTRY
Baby bag,Handbag Baby bag Style 37682,Women,2000901613,202204,Newness,Leather,27/06/2012,Yellow,259,A,April,Spring/Summer,24,21,0,24,44,140,46.54,89.887083,1040.329992,0.48,2157.289992,1202.710008,56%,ENTRY
Baby bag,Handbag Baby bag Style 37682,Women,2000901613,202205,Newness,Leather,27/06/2012,Yellow,259,A,May,Spring/Summer,16,16,1,17,44,140,46.54,86.02647,631.78352,0.46,1376.42352,863.57648,63%,ENTRY
Baby bag,Handbag Baby bag Style 37682,Women,2000901613,202206,Newness,Leather,27/06/2012,Yellow,259,A,June,Spring/Summer,17,19,1,18,44,140,46.54,90.279444,743.570548,0.48,1534.750548,845.249452,55%,ENTRY
Baby bag,Handbag Baby bag Style 37682,Women,2000901613,202207,Newness,Leather,27/06/2012,Yellow,259,A,July,Spring/Summer,24,24,2,26,44,140,46.54,87.192,975.648,0.47,2092.608,1267.392,61%,ENTRY
Baby bag,Handbag Baby bag Style 37682,Women,2000901613,202208,Newness,Leather,27/06/2012,Yellow,259,A,August,Fall/Winter,20,17,0,20,44,140,46.54,93.0735,930.67,0.5,1861.47,938.53,50%,ENTRY
Baby bag,Handbag Baby bag Style 37682,Women,2000901613,202209,Newness,Leather,27/06/2012,Yellow,259,A,September,Fall/Winter,17,16,2,19,44,140,46.54,88.748888,717.551096,0.48,1508.731096,871.268904,58%,ENTRY
Baby bag,Handbag Baby bag Style 37682,Women,2000901613,202210,Newness,Leather,27/06/2012,Yellow,259,A,October,Fall/Winter,23,36,5,28,44,140,46.54,87.835,949.785,0.47,2020.205,1199.795,59%,ENTRY
Baby bag,Handbag Baby bag Style 37682,Women,2000901613,202211,Newness,Leather,27/06/2012,Yellow,259,A,November,Fall/Winter,26,30,5,31,44,140,46.54,79.899868,872.314456,0.42,2082.354456,1557.645544,75%,ENTRY
Baby bag,Handbag Baby bag Style 37682,Women,2000901613,202212,Newness,Leather,27/06/2012,Yellow,259,A,December,Fall/Winter,13,20,1,14,44,140,46.54,86.431428,518.588564,0.46,1123.608564,696.391436,62%,ENTRY
