product_hier_feature_1_desc,product_group_description,product_subgroup_desc,sku_id,size_code,style_color_description,style_color_id,period,range_segment,material,product_launch_date,colour_description,price_metric,sales,end_inv,total_stock,weeks_selling,standard_selling_price,standard_cost_price,aur,margin  v,sales v,discount v,discount %,margin %,distinct_store_count,pareto,season
WOMENS BOTTOMS,WOMENS PANTS,WOMENS PANTS,5188312,14,Style Option 12446,21908,202112,Seasonal,Nylon,10/01/2022,starlight,ENTRY,2,0,2,1,0.0,0.0,69.0,138.0,138.0,-138.0,-100.00%,100.00%,1,A,Fall/Winter
WOMENS BOTTOMS,WOMENS PANTS,WOMENS PANTS,5188313,2,Style Option 12446,21908,202112,Seasonal,Nylon,06/09/2021,starlight,ENTRY,2,0,2,1,0.0,0.0,69.0,138.0,138.0,-138.0,-100.00%,100.00%,1,A,Fall/Winter
WOMENS BOTTOMS,WOMENS PANTS,WOMENS PANTS,5188315,6,Style Option 12446,21908,202111,Carryover EOL,Nylon,04/02/2019,starlight,EXIT,2,1,3,1,0.0,0.0,98.0,196.0,196.0,-196.0,-100.00%,100.00%,2,A,Fall/Winter
WOMENS BOTTOMS,WOMENS PANTS,WOMENS PANTS,5188315,6,Style Option 12446,21908,202202,Carryover EOL,Nylon,04/02/2019,starlight,EXIT,1,0,1,1,0.0,0.0,98.0,98.0,98.0,-98.0,-100.00%,100.00%,2,A,Spring/Summer
WOMENS BOTTOMS,WOMENS PANTS,WOMENS PANTS,5188316,8,Style Option 12446,21908,202112,Seasonal,Nylon,11/03/2019,starlight,EXIT,1,1,2,1,0.0,0.0,98.0,98.0,98.0,-98.0,-100.00%,100.00%,1,A,Fall/Winter
WOMENS BOTTOMS,WOMENS PANTS,WOMENS PANTS,5197892,0,Style Option 13170,22632,202201,Carryover,Nylon Blend,28/01/2019,White,EXIT,1,0,1,1,0.0,0.0,98.0,98.0,98.0,-98.0,-100.00%,100.00%,1,Tail,Fall/Winter
WOMENS BOTTOMS,WOMENS PANTS,WOMENS PANTS,5197893,10,Style Option 13170,22632,202112,Carryover,Nylon Blend,28/01/2019,White,EXIT,1,0,1,1,98.0,11.28,98.0,86.72,98.0,0.0,0.00%,88.00%,5,Tail,Fall/Winter
WOMENS BOTTOMS,WOMENS PANTS,WOMENS PANTS,5197893,10,Style Option 13170,22632,202201,Carryover,Nylon Blend,28/01/2019,White,EXIT,2,0,2,1,98.0,11.28,98.0,173.44,196.0,0.0,0.00%,88.00%,5,Tail,Fall/Winter
WOMENS BOTTOMS,WOMENS PANTS,WOMENS PANTS,5197893,10,Style Option 13170,22632,202204,Carryover,Nylon Blend,28/01/2019,White,EXIT,2,0,2,1,98.0,11.28,98.0,173.44,196.0,0.0,0.00%,88.00%,5,Tail,Spring/Summer
WOMENS BOTTOMS,WOMENS PANTS,WOMENS PANTS,5197893,10,Style Option 13170,22632,202205,Carryover,Nylon Blend,28/01/2019,White,EXIT,2,0,2,1,98.0,11.28,98.0,173.44,196.0,0.0,0.00%,88.00%,5,Tail,Spring/Summer
